Customer ID,Recency,Frequency,Monetary,AvgRevenue,TotalItems,AvgQuantity,Churn
12346,326,12,77556.46,2281.0723529411766,74285,2184.8529411764707,1
12347,2,8,4921.53,22.169054054054055,2967,13.364864864864865,0
12348,75,5,2019.4,39.596078431372554,2714,53.21568627450981,0
12349,19,4,4428.69,25.3068,1624,9.28,0
12350,310,1,334.4,19.670588235294115,197,11.588235294117647,1
12351,375,1,300.93,14.33,261,12.428571428571429,1
12352,36,10,2849.84,27.668349514563108,724,7.029126213592233,0
12353,204,2,406.76,16.948333333333334,212,8.833333333333334,1
12354,232,1,1079.4,18.610344827586207,530,9.137931034482758,1
12355,214,2,947.61,27.074571428571428,543,15.514285714285714,1
12356,23,6,6371.73,44.87133802816901,3416,24.056338028169016,0
12357,33,3,18287.66,61.78263513513514,6587,22.25337837837838,0
12358,2,5,3887.07,50.48142857142857,1079,14.012987012987013,0
12359,58,10,8873.39,24.5121270718232,2739,7.566298342541437,0
12360,52,8,4252.89,19.59857142857143,2459,11.331797235023041,0
12361,287,4,511.25,17.629310344827587,235,8.10344827586207,1
12362,3,11,5356.23,20.06078651685393,2230,8.352059925093632,0
12363,110,2,552.0,24.0,408,17.73913043478261,1
12364,8,4,1313.1,15.448235294117646,1506,17.71764705882353,0
12365,291,2,641.38,29.153636363636362,174,7.909090909090909,1
12366,634,1,500.24,166.74666666666667,296,98.66666666666667,1
12367,4,1,168.9,15.354545454545455,173,15.727272727272727,0
12368,628,1,917.6999999999999,50.98333333333333,330,18.333333333333332,1
12369,413,3,1791.15,19.25967741935484,1241,13.344086021505376,1
12370,51,7,4316.56,21.47542288557214,2604,12.955223880597014,0
12371,45,5,4067.38,24.35556886227545,1436,8.598802395209582,0
12372,72,3,1298.04,24.962307692307693,794,15.26923076923077,0
12373,311,3,1127.65,22.110784313725492,516,10.117647058823529,1
12374,25,4,2989.2200000000003,36.01469879518073,1362,16.40963855421687,0
12375,11,2,457.5,26.91176470588235,178,10.470588235294118,0
12376,390,2,503.15,38.70384615384615,240,18.46153846153846,1
12377,315,4,3426.32,22.54157894736842,2105,13.848684210526315,1
12378,130,2,5416.32,17.994418604651162,3316,11.016611295681063,1
12379,82,4,1620.22,20.002716049382716,815,10.061728395061728,0
12380,22,11,9676.300000000001,34.93249097472925,3355,12.111913357400722,0
12381,5,5,1845.31,21.21045977011494,808,9.28735632183908,0
12383,185,5,1850.56,18.69252525252525,1532,15.474747474747474,1
12384,29,2,585.27,21.676666666666666,126,4.666666666666667,0
12385,379,1,1938.4,29.821538461538463,612,9.415384615384616,1
12386,338,2,401.9,40.19,354,35.4,1
12387,415,1,143.94,15.993333333333332,134,14.88888888888889,1
12388,16,8,3901.11,26.719931506849317,2001,13.705479452054794,0
12389,403,3,1433.33,29.251632653061222,614,12.53061224489796,1
12390,80,1,549.84,17.1825,353,11.03125,0
12391,22,6,2724.84,10.205393258426966,1204,4.50936329588015,0
12392,591,1,234.75000000000003,33.53571428571429,73,10.428571428571429,1
12393,72,6,2399.4500000000003,22.42476635514019,1311,12.25233644859813,0
12394,64,2,1272.48,47.12888888888889,819,30.333333333333332,0
12395,19,15,4721.17,19.50896694214876,3205,13.243801652892563,0
12396,674,1,931.43,14.329692307692307,591,9.092307692307692,1
12397,36,2,2409.9,19.126190476190477,1263,10.023809523809524,0
12398,46,1,1635.6599999999999,19.24305882352941,1394,16.4,0
12399,119,7,1962.3,17.83909090909091,2198,19.98181818181818,1
12400,414,1,205.25,18.65909090909091,91,8.272727272727273,1
12401,303,1,84.3,16.86,11,2.2,1
12402,323,6,1256.9,17.955714285714286,584,8.342857142857143,1
12403,50,2,1019.36,113.26222222222222,260,28.88888888888889,0
12404,682,1,63.24,63.24,1,1.0,1
